modelo;unidades
Tesla Model Y;2110
Mazda CX-30;866
Kia K3 (Cross+Sedán);782
Kia Picanto;734
Renault Duster Nacional;712
Kia Sportage;651
Chevrolet Onix;639
Mazda 2;628
Toyota Corolla Cross;608
Kia Stonic;561
BYD Yuan Up;527
Suzuki Swift;495
Toyota Land Cruiser Prado;446
Hyundai Kona;433
Suzuki Dzire;395
Ford Territory;375
Renault Kardian;368
Hyundai Tucson;349
Volkswagen Polo;344
Suzuki Fronx;323
Toyota Hilux;320
Volkswagen Tera;299
Suzuki S-Cross;280
Renault Logan;278
Mazda CX-5;277
Nissan Kait;274
Toyota Yaris Cross;268
Renault Duster E-Tech;261
Nissan X-Trail e-Power;253
Toyota Fortuner;235
Chery iCar 03;231
Renault Kwid;231
Deepal S05;226
Ford Ranger;225
Toyota Corolla Sedán;224
Nissan Frontier;221
Tesla Model 3;221
Renault Arkana;217
BYD Seagull;206
Chevrolet Tracker;202
Kia Sonet;187
Suzuki Jimny;187
Volkswagen T-Cross;180
Kia Soluto;173
Toyota RAV4;166
Hyundai Grand Metro Taxi;165
Hyundai Venue;164
Chevrolet Spark EUV;153
Volkswagen Nivus;151
Renault Stepway;146
Mazda CX-50;144
MG S5 EV;142
Chevrolet Colorado;133
Renault Duster Oroch;132
Renault Koleos;131
BYD Yuan Plus;130
Peugeot 2008;130
Nissan Versa;128
Toyota Yaris HEV;123
Kenworth T880;116
Nissan Kicks;116
BYD Dolphin;114
Jeep Avenger;106
JAC JHR Largo (HfFC1036KN EVI);101
RAM 700;100
Geely EX2;99
Mazda 3;98
Chevrolet NHR;98
Subaru Crosstrek;97
Kia Niro;93
Toyota Sequoia;92
Hyundai Grand i10;92
Foton FHR Cummins 3,1 toneladas (BJ1045VDJBA-F3);85
Nissan V-Drive;81
Chevrolet Montana;80
BMW X3;77
Chevrolet MS (Bus);77
