id_periodo,id_modelo,unidades_vendidas
202607,61,1801
202607,29,1023
202607,36,805
202607,27,802
202607,32,717
202607,62,712
202607,66,625
202607,49,608
202607,50,534
202607,34,489
202607,6,488
202607,59,449
202607,21,438
202607,65,425
202607,56,414
202607,3,406
202607,48,375
202607,33,373
202607,58,331
202607,69,322
202607,55,299
202607,53,298
202607,28,296
202607,7,294
202607,45,283
202607,70,281
202607,22,277
202607,74,275
202607,64,273
202607,1,270
202607,9,268
202607,13,266
202607,44,264
202607,57,255
202607,72,237
202607,4,235
202607,41,234
202607,39,229
202607,12,229
202607,52,218
202607,11,216
202607,19,209
202607,73,204
202607,63,204
202607,51,197
202607,37,196
202607,31,193
202607,25,190
202607,43,179
202607,20,177
202607,47,173
202607,38,170
202607,24,170
202607,40,163
202607,30,161
202607,2,140
202607,67,137
202607,15,137
202607,23,136
202607,5,135
202607,42,134
202607,8,132
202607,54,127
202607,35,125
202607,26,120
202607,75,111
202607,71,110
202607,60,110
202607,68,109
202607,18,109
202607,16,104
202607,14,104
202607,10,100
202607,17,98
202607,46,98
202606,2,160
202606,3,246
202606,1,314
202606,155,98
202606,4,185
202606,160,94
202606,158,104
202606,5,143
202606,8,173
202606,159,179
202606,9,208
202606,157,337
202606,6,461
202606,11,188
202606,12,220
202606,13,376
202606,168,112
202606,169,136
202606,167,182
202606,19,94
202606,173,150
202606,22,326
202606,21,403
202606,23,97
202606,24,96
202606,25,117
202606,31,134
202606,33,470
202606,32,644
202606,29,674
202606,27,783
202606,35,96
202606,38,175
202606,37,243
202606,34,584
202606,36,774
202606,39,247
202606,42,126
202606,40,133
202606,45,200
202606,41,201
202606,44,299
202606,196,108
202606,195,110
202606,51,142
202606,47,158
202606,52,241
202606,53,284
202606,48,367
202606,50,397
202606,49,656
202606,57,172
202606,59,189
202606,58,265
202606,55,407
202606,56,435
202606,60,131
202606,61,2297
202606,214,97
202606,209,170
202606,216,206
202606,67,237
202606,64,269
202606,65,343
202606,69,398
202606,212,422
202606,62,619
202606,75,118
202606,71,128
202606,73,181
202606,74,193
202606,72,318
202606,223,137
202606,222,148
202606,224,390
202605,315,114
202605,2,130
202605,1,206
202605,3,527
202605,4,231
202605,368,77
202605,361,80
202605,157,98
202605,5,133
202605,8,153
202605,9,202
202605,6,639
202605,11,226
202605,12,225
202605,13,375
202605,359,85
202605,318,99
202605,18,92
202605,173,164
202605,19,165
202605,22,349
202605,21,433
202605,23,106
202605,24,116
202605,28,93
202605,30,173
202605,31,187
202605,33,561
202605,32,651
202605,29,734
202605,27,782
202605,35,98
202605,38,144
202605,37,277
202605,34,628
202605,36,866
202605,39,142
202605,313,81
202605,42,116
202605,44,128
202605,40,221
202605,45,253
202605,41,274
202605,46,130
202605,51,131
202605,195,132
202605,358,146
202605,47,217
202605,52,231
202605,48,261
202605,53,278
202605,50,368
202605,49,712
202605,57,187
202605,58,280
202605,56,323
202605,55,395
202605,59,495
202605,60,221
202605,61,2110
202605,68,92
202605,370,123
202605,67,166
202605,209,224
202605,64,235
202605,69,268
202605,65,320
202605,66,446
202605,62,608
202605,71,151
202605,73,180
202605,74,299
202605,72,344
202605,328,101
202605,338,77
202605,343,100
202605,376,97
202604,61,2269
202604,27,920
202604,49,811
202604,36,770
202604,34,675
202604,32,651
202604,6,577
202604,62,537
202604,3,534
202604,59,433
202604,66,402
202604,21,386
202604,60,371
202604,50,364
202604,53,361
202604,13,349
202604,56,320
202604,22,317
202604,12,317
202604,55,312
202604,29,311
202604,74,304
202604,9,298
202604,30,285
202604,31,275
202604,58,271
202604,37,264
202604,33,260
202604,48,257
202604,52,239
202604,11,231
202604,426,229
202604,72,227
202604,1,225
202604,40,224
202604,73,220
202604,4,211
202604,440,206
202604,47,194
202604,173,192
202604,358,180
202604,24,180
202604,2,180
202604,209,179
202604,57,170
202604,25,163
202604,315,160
202604,64,152
202604,390,150
202604,195,147
202604,19,147
202604,406,146
202604,51,144
202604,65,139
202604,42,130
202604,424,130
202604,5,126
202604,403,119
202604,8,119
202604,338,115
202604,23,114
202604,28,112
202604,413,111
202604,196,110
202604,35,110
202604,71,110
202604,387,98
202604,434,98
202604,68,94
202604,46,90
202604,446,86
202604,313,85
202604,437,85
202604,43,85
202604,376,83
202603,1,95
202603,485,137
202603,3,617
202603,155,95
202603,453,246
202603,157,102
202603,8,141
202603,9,323
202603,6,418
202603,10,128
202603,507,94
202603,11,258
202603,12,277
202603,13,346
202603,454,152
202603,470,194
202603,496,102
202603,173,105
202603,19,139
202603,22,289
202603,21,502
202603,23,117
202603,24,101
202603,390,133
202603,25,163
202603,31,169
202603,28,209
202603,30,214
202603,32,516
202603,33,527
202603,29,888
202603,27,976
202603,35,123
202603,38,158
202603,37,325
202603,34,578
202603,36,874
202603,39,184
202603,44,94
202603,43,113
202603,459,153
202603,424,245
202603,45,267
202603,40,273
202603,46,191
202603,196,115
202603,358,172
202603,48,195
202603,51,203
202603,50,241
202603,52,292
202603,47,301
202603,53,353
202603,49,813
202603,58,192
202603,56,201
202603,57,213
202603,55,352
202603,59,473
202603,60,666
202603,61,1793
202603,214,90
202603,64,154
202603,209,180
202603,65,221
202603,62,380
202603,66,504
202603,434,131
202603,71,133
202603,72,178
202603,73,201
202603,74,314
202603,222,105
202603,376,86
202603,525,96
202602,29,1215
202602,62,989
202602,593,855
202602,49,656
202602,3,617
202602,36,603
202602,21,532
202602,32,499
202602,34,465
202602,6,455
202602,37,428
202602,157,371
202602,224,369
202602,65,368
202602,13,358
202602,59,353
202602,40,348
202602,53,346
202602,47,322
202602,33,310
202602,52,309
202602,50,305
202602,60,296
202602,38,272
202602,64,264
202602,453,264
202602,9,245
202602,44,245
202602,424,230
202602,12,227
202602,22,218
202602,31,217
202602,66,214
202602,30,207
202602,45,202
202602,1,198
202602,73,197
202602,541,193
202602,72,179
202602,74,170
202602,11,163
202602,42,162
202602,159,160
202602,58,159
202602,56,157
202602,358,154
202602,560,153
202602,55,150
202602,25,146
202602,46,145
202602,19,140
202602,485,132
202602,5,127
202602,57,123
202602,585,121
202602,24,120
202602,23,118
202602,528,117
202602,587,113
202602,599,113
202602,28,111
202602,222,106
202602,69,102
202602,35,100
202602,434,98
202602,54,91
202602,437,88
202602,196,88
202602,572,86
202602,48,85
202602,338,83
202602,71,80
202602,598,79
202602,43,78
202602,376,78
202601,29,889
202601,27,670
202601,36,584
202601,49,554
202601,59,528
202601,66,468
202601,53,428
202601,62,425
202601,34,416
202601,21,396
202601,6,392
202601,3,390
202601,37,358
202601,50,341
202601,52,329
202601,32,324
202601,72,322
202601,33,273
202601,31,273
202601,47,269
202601,612,260
202601,40,247
202601,13,238
202601,9,213
202601,48,210
202601,668,210
202601,56,201
202601,64,200
202601,65,196
202601,30,191
202601,46,183
202601,57,183
202601,424,175
202601,426,169
202601,1,168
202601,22,159
202601,12,152
202601,69,144
202601,73,144
202601,38,139
202601,55,136
202601,23,135
202601,11,134
202601,358,129
202601,42,127
202601,51,126
202601,157,125
202601,24,112
202601,195,112
202601,673,102
202601,28,101
202601,44,94
202601,35,88
202601,413,86
202601,485,83
202601,2,81
202601,528,80
202601,437,80
202601,496,75
202601,434,74
202601,604,74
202601,159,73
202601,25,71
202601,58,69
202601,671,64
202601,196,62
202601,643,62
202601,661,61
202601,158,58
202601,660,58
202601,43,58
202601,376,57
202601,599,57
202601,173,57
202601,649,57
202608,61,1904
202608,27,1023
202608,62,803
202608,36,777
202608,49,613
202608,65,599
202608,13,589
202608,32,581
202608,3,536
202608,29,526
202608,43,491
202608,6,472
202608,48,468
202608,34,467
202608,66,434
202608,59,362
202608,50,351
202608,21,347
202608,64,341
202608,7,340
